timestamp,open,high,low,close,volume-btc,volume-currency,weighted-price
2/27/14 0:00,585.24,599.99,571.22,583,17048.07,10002403.11,586.72
2/28/14 0:00,584.7,591.39,541,551.89,22634.32,12774750.4,564.4
3/1/14 0:00,551.8,576,535,567.48,14303.94,7964319.57,556.79
3/2/14 0:00,567.46,570.99,553,566.24,6437.4,3620383.34,562.4
3/3/14 0:00,565.38,710,562.02,677.69,64914.82,41032096.49,632.09
3/4/14 0:00,677.69,702.24,633.64,673,28031.32,19083495.91,680.79
3/5/14 0:00,673.27,679.97,651.9,669.99,12719.61,8460673.86,665.17
3/6/14 0:00,669,675.71,650,669.57,10404.7,6899577.42,663.12
3/7/14 0:00,669.57,670,613.45,632.79,21449.43,13634040.59,635.64
3/8/14 0:00,632.79,639.79,604.5,620,9699.02,5993946.69,618
3/9/14 0:00,620.02,653,613.03,640,9121.47,5813863.58,637.38
3/10/14 0:00,638.4,646.59,609,629.39,13350.32,8379172.34,627.64
3/11/14 0:00,628.02,644.44,614.17,632.1,9166.62,5753906.27,627.7
3/12/14 0:00,631.72,656.95,628.8,634.95,12741.36,8167080.27,640.99
3/13/14 0:00,634.95,650,632,641.01,6728.15,4331849.62,643.84
3/14/14 0:00,641.02,645,625.29,630.42,8676.83,5501965.38,634.1
3/15/14 0:00,630.99,639.88,625.32,637.24,2202.22,1394529.18,633.24
3/16/14 0:00,637.58,639.39,629.02,634.99,3296.51,2088127.15,633.44
3/17/14 0:00,634.99,634.99,619.46,621.11,9165.09,5724111.74,624.56
3/18/14 0:00,622.97,624.17,591.13,612,14907.8,9101120.43,610.49
3/19/14 0:00,613.84,623.95,605.11,611.2,7079.92,4340869.41,613.12
3/20/14 0:00,610.01,611.3,578.66,587.98,10906.67,6470916.27,593.3
3/21/14 0:00,585.6,607.88,556,570,22418.17,12984926.76,579.21
3/22/14 0:00,569.99,571.99,541,565.31,13614.3,7585366.39,557.16
3/23/14 0:00,564.31,569.48,556.74,561,6098.75,3436140.2,563.42
3/24/14 0:00,558.22,592.6,547,585.99,13674.06,7795968.81,570.13
3/25/14 0:00,585.9,587.48,568.86,583.77,8107.38,4681178.66,577.4
3/26/14 0:00,583.77,592,565,581.49,10310.36,5986251.83,580.61
3/27/14 0:00,581.48,581.59,466.1,475,49205.96,25830547.04,524.95
3/28/14 0:00,475,532,468.3,502.01,34960.06,17558323.58,502.24
3/29/14 0:00,502.01,508,486.97,491.99,7446.56,3710682.75,498.31
3/30/14 0:00,491.99,492,436,460,31437.05,14453335.74,459.75
3/31/14 0:00,460,486.7,438,454.83,20986.65,9549170.26,455.01
4/1/14 0:00,454.81,509.98,452.04,478.98,22904.81,10993489.2,479.96
4/2/14 0:00,478.98,494.98,430,439,34478.67,15752852.54,456.89
4/3/14 0:00,438.9,465,416.11,451.03,26944.98,11800596.2,437.95
4/4/14 0:00,451.03,459.5,430.77,452.2,15699.31,6978736.06,444.53
4/5/14 0:00,450,464.8,441.25,464.8,6467.32,2927853,452.72
4/6/14 0:00,464.8,465,450.2,456.27,5283.85,2412744.09,456.63
4/7/14 0:00,459.97,464.19,446,447.11,7419.25,3362333.8,453.19
4/8/14 0:00,447.11,459.8,446.24,453.57,5844.42,2646631.05,452.85
4/9/14 0:00,453.57,457.3,438.08,441.69,8006.6,3574642.08,446.46
4/10/14 0:00,441.69,442.46,357.57,363.12,49713.84,19832155.04,398.93
4/11/14 0:00,363.1,432.22,339.79,423,42124.75,16522551.34,392.23
4/12/14 0:00,423,439.5,413.72,423.42,10809.05,4621987.21,427.6
4/13/14 0:00,424.91,427.75,397.16,416.3,11017.88,4521279.72,410.36
4/14/14 0:00,416.29,475,408,458.5,33640.67,15126755.01,449.66
4/15/14 0:00,459.99,528.75,453.16,521,32622.08,16174102.2,495.8
4/16/14 0:00,523.1,548,494.02,530,30710.47,15977435.81,520.26
4/17/14 0:00,529.26,533.8,481.63,500.09,20052.7,10067997.39,502.08
4/18/14 0:00,500.09,506.97,470,483.11,11142.84,5393877.82,484.07
4/19/14 0:00,482.1,507.43,472.81,503.8,10268.73,5061530.27,492.91
4/20/14 0:00,505.18,516.53,493,500,5798.58,2925535.48,504.53
4/21/14 0:00,501.07,515,490,496.74,8377.06,4201115.82,501.5
4/22/14 0:00,497.98,504.9,485.2,490,8521.47,4210266.59,494.08
4/23/14 0:00,490,495.2,484.61,492,5696.01,2788385.98,489.53
4/24/14 0:00,491.94,505,480,502.2,7952.77,3899468.18,490.33
4/25/14 0:00,502.15,503.99,438.05,466.52,33416.96,15460069.47,462.64
4/26/14 0:00,466.71,470.96,451.07,459,8812.12,4048732.55,459.45
4/27/14 0:00,459.22,461.97,455.41,455.41,1185.04,542735.37,457.99
